album_1,album_2,similarity
Ariana Grande - Sweetener,Harry Styles - Harry's House,0.968
"Ariana Grande - Thank U, Next",Taylor Swift - Lover,0.965
Taylor Swift - 1989,"Ariana Grande - Thank U, Next",0.961
Ariana Grande - Sweetener,Taylor Swift - Lover,0.959
Taylor Swift - 1989,Taylor Swift - Lover,0.959
Ariana Grande - Sweetener,"Ariana Grande - Thank U, Next",0.955
Taylor Swift - Lover,Taylor Swift - Folklore,0.95
Taylor Swift - Lover,Harry Styles - Harry's House,0.95
Taylor Swift - 1989,Ariana Grande - Sweetener,0.949
"Ariana Grande - Thank U, Next",Harry Styles - Harry's House,0.941
Taylor Swift - Lover,Olivia Rodrigo - Sour,0.94
Taylor Swift - 1989,Olivia Rodrigo - Sour,0.935
Taylor Swift - 1989,Harry Styles - Harry's House,0.933
"Ariana Grande - Thank U, Next",Taylor Swift - Folklore,0.933
"Ariana Grande - Thank U, Next",Olivia Rodrigo - Sour,0.933
Taylor Swift - Folklore,Harry Styles - Harry's House,0.927
Taylor Swift - 1989,Taylor Swift - Folklore,0.925
Rihanna - Anti,Ariana Grande - Sweetener,0.923
Taylor Swift - Folklore,Olivia Rodrigo - Sour,0.922
Taylor Swift - Reputation,Taylor Swift - Lover,0.919
Ariana Grande - Sweetener,Taylor Swift - Folklore,0.918
Olivia Rodrigo - Sour,Harry Styles - Harry's House,0.916
Taylor Swift - Reputation,Taylor Swift - Folklore,0.912
Ariana Grande - Sweetener,Olivia Rodrigo - Sour,0.912
Taylor Swift - Reputation,"Ariana Grande - Thank U, Next",0.909
Taylor Swift - 1989,Taylor Swift - Reputation,0.906
Adele - 30,Harry Styles - Harry's House,0.904
Taylor Swift - Reputation,Olivia Rodrigo - Sour,0.903
Taylor Swift - Reputation,Harry Styles - Harry's House,0.896
Taylor Swift - Lover,Adele - 30,0.889
Taylor Swift - Reputation,Ariana Grande - Sweetener,0.886
Rihanna - Anti,Harry Styles - Harry's House,0.885
Taylor Swift - Folklore,Adele - 30,0.884
Justin Bieber - Purpose,Taylor Swift - Lover,0.882
Rihanna - Anti,Taylor Swift - Lover,0.882
Justin Bieber - Purpose,Harry Styles - Harry's House,0.88
Taylor Swift - Lover,Taylor Swift - Midnights,0.879
Ed Sheeran - Divide,Lorde - Melodrama,0.877
Rihanna - Anti,"Ariana Grande - Thank U, Next",0.875
Olivia Rodrigo - Sour,Adele - 30,0.871
Justin Bieber - Purpose,Taylor Swift - Folklore,0.867
Taylor Swift - 1989,Rihanna - Anti,0.867
Harry Styles - Harry's House,Taylor Swift - Midnights,0.865
Ariana Grande - Sweetener,Taylor Swift - Midnights,0.865
"Ariana Grande - Thank U, Next",Adele - 30,0.864
Taylor Swift - Reputation,Adele - 30,0.861
Adele - 30,Taylor Swift - Midnights,0.861
Adele - 25,Taylor Swift - Folklore,0.86
Justin Bieber - Purpose,"Ariana Grande - Thank U, Next",0.86
Justin Bieber - Purpose,Ariana Grande - Sweetener,0.86
Ariana Grande - Sweetener,Adele - 30,0.86
"Ariana Grande - Thank U, Next",Taylor Swift - Midnights,0.858
Taylor Swift - 1989,Adele - 30,0.858
Taylor Swift - 1989,Taylor Swift - Midnights,0.853
Taylor Swift - 1989,Justin Bieber - Purpose,0.853
Justin Bieber - Purpose,Harry Styles - Fine Line,0.852
Lorde - Melodrama,Olivia Rodrigo - Sour,0.847
Taylor Swift - 1989,Ed Sheeran - Divide,0.845
Taylor Swift - 1989,Lorde - Melodrama,0.845
Ed Sheeran - Divide,Olivia Rodrigo - Sour,0.841
Olivia Rodrigo - Sour,Taylor Swift - Midnights,0.841
Justin Bieber - Purpose,Adele - 30,0.84
Taylor Swift - Folklore,Taylor Swift - Midnights,0.839
Justin Bieber - Purpose,Olivia Rodrigo - Sour,0.839
Lorde - Melodrama,Taylor Swift - Lover,0.839
Rihanna - Anti,Olivia Rodrigo - Sour,0.836
Justin Bieber - Purpose,Taylor Swift - Midnights,0.836
Ed Sheeran - Divide,Taylor Swift - Lover,0.835
Adele - 25,Harry Styles - Fine Line,0.834
Lorde - Melodrama,"Ariana Grande - Thank U, Next",0.831
Lorde - Melodrama,Taylor Swift - Folklore,0.83
Ed Sheeran - Divide,"Ariana Grande - Thank U, Next",0.825
Harry Styles - Fine Line,Taylor Swift - Folklore,0.82
Adele - 25,Taylor Swift - Lover,0.819
Adele - 25,Harry Styles - Harry's House,0.809
Justin Bieber - Purpose,Taylor Swift - Reputation,0.808
Harry Styles - Fine Line,Adele - 30,0.805
Taylor Swift - Reputation,Taylor Swift - Midnights,0.805
Lorde - Melodrama,Harry Styles - Harry's House,0.803
Adele - 25,"Ariana Grande - Thank U, Next",0.801
Ed Sheeran - Divide,Taylor Swift - Folklore,0.799
Harry Styles - Fine Line,Harry Styles - Harry's House,0.799
Lorde - Melodrama,Taylor Swift - Reputation,0.798
