,Taylor Swift - 1989,Adele - 25,Justin Bieber - Purpose,Rihanna - Anti,Ed Sheeran - Divide,Lorde - Melodrama,Taylor Swift - Reputation,Ariana Grande - Sweetener,"Ariana Grande - Thank U, Next",Taylor Swift - Lover,"Billie Eilish - When We All Fall Asleep, Where Do We Go?",Harry Styles - Fine Line,Dua Lipa - Future Nostalgia,Taylor Swift - Folklore,The Weeknd - After Hours,Olivia Rodrigo - Sour,Adele - 30,Harry Styles - Harry's House,Taylor Swift - Midnights,Olivia Rodrigo - Guts
Taylor Swift - 1989,0.9999999999999989,0.7890773300283684,0.8526258047735552,0.8673693770909938,0.8445062279363692,0.8449566685439107,0.906483969310622,0.9491968120759885,0.9613366176667684,0.9594471337378295,0.37506274021729913,0.7529052175782632,0.5538604158491444,0.9248570225033608,0.6837165103034087,0.9345409765841408,0.8577646666789922,0.9326367796097228,0.8529089541064846,0.7502006198139305
Adele - 25,0.7890773300283684,0.9999999999999988,0.7826788164149998,0.6667168262270313,0.6064818911770862,0.6953571192220105,0.7304699472347724,0.7963025001780446,0.8007800702718155,0.8187292768126323,0.5765019587167352,0.8339666795548024,0.7808268303713614,0.8598740012913623,0.5639428241431053,0.7757289792989458,0.7885766425656476,0.8089138310921805,0.7711646171507555,0.6229547809101882
Justin Bieber - Purpose,0.8526258047735552,0.7826788164149998,0.9999999999999966,0.7749334517052663,0.7222434013557625,0.7493967676288869,0.8076348780348835,0.8601890056126451,0.8601517029897688,0.8821574298261176,0.5082840254306829,0.8521257712070123,0.6138372615521133,0.8667253521770131,0.6183145790626017,0.8390419135080629,0.8398046318569129,0.8799181241266202,0.836491505996766,0.6480642757732611
Rihanna - Anti,0.8673693770909938,0.6667168262270313,0.7749334517052663,1.0000000000000024,0.7148336777065859,0.7008962536004982,0.7877972932122113,0.923065342349038,0.8752170278996085,0.8818719111112424,0.31940101604754445,0.6533523102170979,0.44854390128835336,0.7910404804259982,0.5867859784884066,0.8355374765831458,0.7798429262027939,0.8852297859916369,0.7959223163038546,0.692957326310822
Ed Sheeran - Divide,0.8445062279363692,0.6064818911770862,0.7222434013557625,0.7148336777065859,1.0000000000000013,0.8766641281246899,0.7902154142152004,0.778720799730387,0.8251733801674639,0.8348809966475472,0.20581600372452455,0.6117638811874717,0.4568024517785963,0.7988601785393407,0.6069504016833458,0.8406485864827977,0.7423649846992195,0.7722093777382004,0.6725926024978616,0.659417840852175
Lorde - Melodrama,0.8449566685439107,0.6953571192220105,0.7493967676288869,0.7008962536004982,0.8766641281246899,0.9999999999999989,0.7980511496219973,0.790566150567108,0.8308198730921307,0.8386790016322729,0.355984739693628,0.6956936808988368,0.5097109271737683,0.8299802827912889,0.5783820510406926,0.8470747049928524,0.7886271496028753,0.8027715711412571,0.7165028756958128,0.6809067594997436
Taylor Swift - Reputation,0.906483969310622,0.7304699472347724,0.8076348780348835,0.7877972932122113,0.7902154142152004,0.7980511496219973,0.9999999999999973,0.8856654064664796,0.9086325864524049,0.9191123153095129,0.38026953634231875,0.708419690165036,0.5097335475793442,0.9122122454715751,0.7039698598563593,0.9031385049592263,0.8610791767649981,0.8963799955145183,0.8049019746282726,0.7189149012370563
Ariana Grande - Sweetener,0.9491968120759885,0.7963025001780446,0.8601890056126451,0.923065342349038,0.778720799730387,0.790566150567108,0.8856654064664796,1.000000000000004,0.9548478260026168,0.9589023478373244,0.3882780974611451,0.7663598672212054,0.5769830735636466,0.9177613874329446,0.6882619973404043,0.9124696592892761,0.8602000547347053,0.9676691653117587,0.8647150320865097,0.743592457883814
"Ariana Grande - Thank U, Next",0.9613366176667684,0.8007800702718155,0.8601517029897688,0.8752170278996085,0.8251733801674639,0.8308198730921307,0.9086325864524049,0.9548478260026168,0.9999999999999903,0.9654785041458837,0.3843855293036832,0.7609716135682874,0.599601759476676,0.9331075543762419,0.7090309999372787,0.9329776932780488,0.8643148416289284,0.9411328388872275,0.8577011516033141,0.7346792574389084
Taylor Swift - Lover,0.9594471337378295,0.8187292768126323,0.8821574298261176,0.8818719111112424,0.8348809966475472,0.8386790016322729,0.9191123153095129,0.9589023478373244,0.9654785041458837,1.0000000000000013,0.425943786484514,0.7888213526968261,0.6123143591680307,0.9497089384971512,0.718202468529671,0.9397205466723982,0.8885448775416175,0.9498808432582628,0.8787940862983695,0.7371009248978164
